Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
OOB - La Tropicana La Fe,78753,12/17/2019,100,"9429 N IH
AUSTIN, TX 78753",10631961,Routine Inspection
Circle K #2742103,78753,12/10/2019,96,"11139 N IH
AUSTIN, TX 78753",2803560,Routine Inspection
Subway,78744,08/24/2021,91,"6425 S IH
AUSTIN, TX 78744",2801485,Routine Inspection
Jersey Mikes Subs,78748,02/08/2019,96,"9500 S IH
AUSTIN, TX 78748",10128381,Routine Inspection
Tokyo Gardens Catering,78744,04/24/2020,100,"6607 S IH
AUSTIN, TX 78744",10743813,Routine Inspection
Subway,78723,10/12/2021,93,"5419 N IH
AUSTIN, TX 78723",11979569,Routine Inspection
Fairfield Inn,78744,07/12/2019,92,"4525 S IH
AUSTIN, TX 78744",2801272,Routine Inspection
CEFCO #91,78717,12/06/2021,92,"14200 N FM 620 RD
AUSTIN, TX 78717",10995740,Routine Inspection
Burger King,78752,12/12/2019,94,"7105 N IH
AUSTIN, TX 78752",10104313,Routine Inspection
Whataburger #736,78728,07/12/2021,100,"14310 N IH
AUSTIN, TX 78728",2801522,Routine Inspection
Mariana's Kitchen,78745,12/16/2020,90,"5510 S IH
AUSTIN, TX 78745",11514048,Routine Inspection
PF - Hendrickson Pod,78660,01/08/2021,99,"2905 FM
PFLUGERVILLE, TX 78660",12392629,Routine Inspection
Saccone's Pizza,78750,07/16/2021,98,"13770 N US 183 HWY
AUSTIN, TX 78750",12392642,Routine Inspection
Dollar Tree #06372,78748,04/27/2021,88,"9500 S IH
AUSTIN, TX 78748",12392757,Routine Inspection
290 Express,78736,12/22/2021,89,"9520 HWY
W STE A AUSTIN, TX 78736",12393646,Routine Inspection
Sabor Colombia,78729,12/14/2021,70,"13201 N FM 620 RD
AUSTIN, TX 78729",12394444,Routine Inspection
Mario's Seafood,78752,12/14/2021,77,"7522 N IH
AUSTIN, TX 78752",12394992,Routine Inspection
Torchy's Tacos,78749,07/22/2020,91,"4301 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.222644, -97.839738)",10363316,Routine Inspection
Harmony Science Academy (Austin),78717,11/18/2021,78,"13415 N FM 620 RD
NB AUSTIN, TX 78717",10655854,Routine Inspection
P. Terry's Burger Stand,78758,08/21/2020,90,"12301 N MOPAC EXPY
AUSTIN, TX 78758
(30.414866, -97.705791)",10970925,Routine Inspection
Thundercloud Subs #4,,10/27/2021,90,"6105 6151 E US 290 HWY
SVRD EB AUSTIN, TX
(30.234271, -97.851595)",2800340,Routine Inspection
Texas French Bread,78705,10/03/2019,91,"2900 RIO GRANDE ST
AUSTIN, TX 78705
(30.296142, -97.743863)",2800207,Routine Inspection
La Michoacana,78753,06/16/2020,80,"9308 N LAMAR BLVD
AUSTIN, TX 78753
(30.362314, -97.697462)",2802495,Routine Inspection
Merendero Mi Nina,78753,02/04/2020,94,"10014 N LAMAR BLVD
AUSTIN, TX 78753
(30.370016, -97.693111)",12186068,Follow-Up Inspection
Yummi Joy,78701,06/16/2021,97,"409 W 2ND ST
AUSTIN, TX 78701
(30.265369, -97.747961)",11756190,Routine Inspection
Popeye's #319 - Z & H Foods Inc.,78723,02/10/2020,83,"5630 CAMERON RD
AUSTIN, TX 78723
(30.314341, -97.703324)",11637623,Routine Inspection
Camino Real Restaurant,78759,12/03/2020,95,"8650 SPICEWOOD SPRINGS RD
AUSTIN, TX 78759
(30.433561, -97.77183)",2800117,Routine Inspection
"Fun Holding, LLC aka  Perfect 10 Cabaret",78752,08/09/2021,85,"404 E HIGHLAND MALL BLVD
AUSTIN, TX 78752
(30.328505, -97.710769)",11492080,Routine Inspection
